date,fam,magnitude
2020-01-29T19:56:37.050000Z,14,0.798
2020-01-31T11:39:59.375000Z,02,1.199
2020-03-07T17:55:36.025000Z,14,1.2937384832544796
2020-03-28T06:34:44.750000Z,02,1.8620642755906287
2020-04-20T16:34:58.600000Z,07,1.726381620739239
2020-04-25T02:58:18.950000Z,01,3.053
2020-04-25T02:58:18.950000Z,01,2.629
2020-04-25T02:58:18.950000Z,11,2.71
2020-04-25T02:58:19.350000Z,01,2.1708713849326777
2020-04-25T05:43:31.100000Z,10,2.172
2020-05-02T03:58:32.250000Z,03,1.405
2020-05-16T03:11:36.350000Z,02,1.871549195810965
2020-05-24T06:42:32.750000Z,08,1.089
2020-06-28T14:25:46.175000Z,02,1.8776670598905976
2020-06-28T18:14:04.475000Z,10,2.539629256786477
2020-07-07T19:21:21.625000Z,02,1.863875254606403
2020-07-08T22:36:09.750000Z,02,1.8716783393477043
2020-07-18T02:03:32.225000Z,02,1.88809317154622
2020-07-26T20:59:07.225000Z,17,1.934433229051536
2020-07-29T01:05:30.000000Z,14,1.3022928099965645
2020-08-21T11:36:09.325000Z,02,1.834
2020-08-25T12:28:52.950000Z,14,1.3057061074296887
2020-08-26T03:52:15.475000Z,14,1.4496070658344014
2020-08-28T04:42:02.775000Z,02,1.871915147014632
2020-08-28T04:42:03.175000Z,02,1.8720997644309625
2020-08-28T04:53:02.325000Z,02,1.8662836589070388
2020-08-28T14:28:50.825000Z,14,1.3650981209612212
2020-08-31T18:35:36.100000Z,01,2.080520164125261
2020-08-31T18:35:36.100000Z,11,2.0310060368799534
2020-09-06T09:31:20.375000Z,01,1.739
2020-09-06T09:31:20.375000Z,11,1.82
2020-09-10T11:12:54.775000Z,02,0.961
2020-09-10T11:12:54.775000Z,02,1.641
2020-09-20T19:26:29.900000Z,03,2.634
2020-09-21T01:55:12.325000Z,03,1.371
2020-09-21T08:59:52.525000Z,03,1.27
2020-09-21T09:23:11.975000Z,03,1.021
2020-09-21T12:18:03.350000Z,03,1.927
2020-09-22T01:43:47.325000Z,03,3.522
2020-09-30T23:02:59.375000Z,04,2.730913552260756
2020-10-09T22:35:50.850000Z,01,2.040514451920801
2020-10-09T22:35:51.250000Z,01,2.0405687076058387
2020-10-19T15:20:09.625000Z,02,1.8739130441951417
2020-10-20T18:22:30.525000Z,09,1.792968388184181
2020-10-29T07:59:39.225000Z,02,1.9013665622020268
2020-10-29T16:28:53.250000Z,02,1.866008212226945
2020-11-03T18:21:16.125000Z,09,1.7251456166515546
2020-11-08T19:24:46.775000Z,08,1.6316121539498532
2020-11-26T12:11:29.050000Z,08,1.6286931197589976
2020-12-10T02:55:40.350000Z,10,1.2966111033045626
2020-12-10T03:19:04.475000Z,10,2.0010979941604985
2020-12-22T14:48:15.325000Z,08,1.624724985400859
2020-12-24T15:21:39.650000Z,09,2.1996528521883008
2021-01-13T08:00:45.975000Z,02,1.91314213002565
2021-01-16T19:05:26.725000Z,02,1.8632914589324316
2021-01-16T22:23:06.050000Z,02,1.8713698939441643
2021-01-18T03:46:51.975000Z,14,1.3081937256181269
2021-01-19T02:44:53.600000Z,14,1.9488566245702796
2021-02-01T07:19:58.175000Z,02,1.864686208362204
2021-02-16T02:07:48.925000Z,12,1.8364381326986288
2021-02-27T18:43:40.175000Z,01,2.1722762848839303
2021-02-27T18:43:40.175000Z,11,2.1214773235956805
2021-03-01T06:59:21.325000Z,01,2.060771497204517
